"Redsys","Redsys"
"Enabled","Habilitado"
"Title","Título"
"Environment","Entorno"
"Real Enviroment: https://sis.redsys.es/sis/realizarPago/utf-8 Test Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8","Entorno real: https://sis.redsys.es/sis/realizarPago/utf-8 Entorno de test: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8"
"Commerce Name","Nombre del comercio"
"Commerce Number(FUC)","Número del comercio (FUC)"
"Secret Encrypted Key (SHA-256)","Clave secreta de encriptación (SHA-256)"
"Terminal Number","Número de terminal"
"Transaction Type","Tipo de transacción"
"Allow TPV Languages","Permitir idiomas en el TPV"
"Create invoice automatically","Crear factura automáticamente"
"Only if payment is completed successfully","Solo si el pago se ha realizado con éxito"
"Send Email Customer Invoice","Enviar email de factura al cliente"
"Recovery cart","Recuperar el carrito"
"In case of failure the client does not lose Cart","En caso de fallo el cliente no pierde el carrito"
"Payment From Applicable Countries","Aplicar el pago por país"
"Payment From Specific Countries","Aplicar el pago a los siguientes países"
"Sort Order","Orden de aparición"
"Order canceled.","Pedido cancelado."
"We are sorry, something was wrong with payment. Try again or select another payment method.","Lo sentimos, el pago ha fallado. Vuelva a intentarlo o seleccione otro método de pago."
"Redirecting...","Redireccionando..."
"(response:%1)","(respuesta:%1)"
"TPV payment accepted. (response: %1, authorization: %2)","Pago aceptado. (respuesta: %1, autorización: %2)"
"The order does not allow an invoice to be created.","El pedido no permite la creación de una factura."
"We can't save the invoice right now.","No se puede guardar la factura."
"You can't create an invoice without products.","No se puede crear una factura sin productos."
"Incorrect response from Redsys.","Respuesta incorrecta desde Redsys."
"Errors in POST data","Errores en el POST"
"Amount is diferent","La cantidad es diferente"
"The order no longer exists.","El pedido no existe."
"Email: ","Email: "
"Test Enviroment","Entorno de test"
"Real Enviroment","Entorno real"
"Redirecting to Redsys TPV... Please wait.","Redireccionando al TPV de Redsys. Por favor espere."
"Thanks for trusting us. In a few seconds you will be redirected to the payment platform.","Gracias por confiar en nosotros En unos segundos, se le redirigirá a la plataforma de pago."
"If your browser does not redirect you automatically click <a href='javascript:void(0)' onclick='document.redsys_form.submit();'>here</a> to carry out the payment.","Si su navegador no le redirige automáticamente, haga click <a href='javascript:void(0)' onclick='document.redsys_form.submit();'>aquí</a> para continuar con el pago."
